image_name,accuracy,processing_time
000.json,25.0,28.80168
001.json,50.0,17.10261
002.json,25.0,18.1057
003.json,50.0,26.42028
004.json,25.0,26.83124
005.json,50.0,21.01711
006.json,50.0,17.82229
007.json,25.0,16.72525
008.json,25.0,25.53207
009.json,75.0,15.51116
010.json,25.0,24.84594
011.json,50.0,17.20447
012.json,25.0,26.46368
013.json,25.0,28.24427
014.json,25.0,21.6301
015.json,25.0,18.4055
016.json,50.0,27.38451
017.json,50.0,27.99255
018.json,50.0,28.1442
019.json,25.0,24.35879
020.json,25.0,24.25186
021.json,75.0,23.59615
022.json,25.0,15.63768
023.json,50.0,15.42935
024.json,25.0,16.76529
025.json,25.0,20.78735
026.json,50.0,18.97815
027.json,50.0,26.42508
028.json,25.0,24.20539
029.json,25.0,23.86603
030.json,50.0,15.38979
031.json,50.0,17.09216
032.json,50.0,22.17346
033.json,25.0,15.8214
034.json,25.0,23.23927
035.json,50.0,22.03806
036.json,25.0,18.9857
037.json,50.0,15.53735
038.json,50.0,24.97561
039.json,50.0,21.91494
040.json,75.0,24.35639
041.json,50.0,19.39519
042.json,50.0,26.6921
043.json,25.0,27.44059
044.json,50.0,25.07987
045.json,25.0,25.60129
046.json,25.0,21.51406
047.json,50.0,18.3943
048.json,50.0,16.79998
049.json,50.0,22.42181
050.json,50.0,15.07504
051.json,25.0,19.09178
052.json,25.0,29.13215
053.json,25.0,17.20254
054.json,25.0,18.05567
055.json,50.0,29.07745
056.json,25.0,24.3666
057.json,50.0,23.51037
058.json,50.0,26.00079
059.json,50.0,15.01811
060.json,25.0,28.26034
061.json,25.0,20.93617
062.json,25.0,19.19365
063.json,25.0,23.61127
064.json,25.0,22.17535
065.json,25.0,20.55208
066.json,25.0,19.65086
067.json,25.0,27.51723
068.json,25.0,20.74649
069.json,25.0,29.72886
070.json,25.0,15.59846
071.json,25.0,18.55689
072.json,25.0,18.26105
073.json,25.0,29.97636
074.json,50.0,15.56939
075.json,25.0,18.15306
076.json,25.0,17.61766
077.json,25.0,23.54897
078.json,50.0,18.90127
079.json,25.0,19.98613
080.json,50.0,17.87194
081.json,25.0,22.94427
082.json,50.0,17.90396
083.json,50.0,16.74221
084.json,25.0,19.25707
085.json,25.0,16.11816
086.json,25.0,29.89164
087.json,25.0,21.99261
088.json,25.0,16.37648
089.json,50.0,26.86439
090.json,50.0,24.26471
091.json,25.0,26.5815
092.json,50.0,23.55403
093.json,25.0,26.35433
094.json,50.0,17.00249
095.json,50.0,15.89982
096.json,25.0,21.81287
097.json,25.0,27.49236
098.json,25.0,24.57935
099.json,50.0,29.75094
100.json,50.0,18.97187
101.json,50.0,15.00289
102.json,50.0,26.76182
103.json,50.0,17.86148
104.json,25.0,25.30045
105.json,25.0,29.4993
106.json,25.0,26.60871
107.json,25.0,26.74066
108.json,50.0,19.56217
109.json,25.0,24.70056
110.json,50.0,21.02911
111.json,25.0,25.43068
112.json,50.0,23.81427
113.json,50.0,18.62333
114.json,75.0,20.52518
115.json,50.0,21.49007
116.json,50.0,17.569
117.json,50.0,15.79779
118.json,50.0,16.90384
119.json,50.0,24.32749
120.json,75.0,15.41372
121.json,50.0,21.44032
122.json,50.0,18.11077
123.json,50.0,18.57492
124.json,50.0,26.85969
125.json,25.0,29.96869
126.json,50.0,22.27818
127.json,50.0,20.77894
128.json,50.0,27.57794
129.json,50.0,24.0469
130.json,50.0,20.39144
131.json,75.0,25.76098
132.json,25.0,28.37935
133.json,50.0,18.65886
134.json,25.0,17.88567
135.json,25.0,22.12495
136.json,25.0,26.09351
137.json,25.0,27.90121
138.json,25.0,18.33906
139.json,25.0,22.42216
140.json,25.0,29.58745
141.json,50.0,21.67538
142.json,50.0,25.8857
143.json,50.0,29.64661
144.json,50.0,16.59679
145.json,50.0,27.06277
146.json,25.0,21.58235
147.json,25.0,18.05177
148.json,50.0,25.85692
149.json,25.0,24.9332
150.json,50.0,23.67251
151.json,50.0,19.63188
152.json,25.0,17.16052
153.json,25.0,23.44797
154.json,50.0,29.84977
155.json,50.0,15.64129
156.json,25.0,17.12588
157.json,50.0,27.9062
158.json,25.0,22.05517
159.json,25.0,25.81785
160.json,50.0,18.12534
161.json,50.0,19.127
162.json,25.0,22.63158
163.json,25.0,23.00792
164.json,75.0,18.26871
165.json,25.0,28.12552
166.json,25.0,26.70498
167.json,25.0,18.24477
168.json,25.0,27.56139
169.json,25.0,20.26166
170.json,25.0,23.52133
171.json,25.0,22.29519
172.json,25.0,20.03751
173.json,25.0,19.86843
174.json,75.0,18.51986
175.json,25.0,23.49081
176.json,25.0,15.60552
177.json,50.0,20.147
178.json,25.0,16.03367
179.json,50.0,28.50381
180.json,25.0,23.29249
181.json,25.0,28.20129
182.json,25.0,16.88863
183.json,75.0,26.37271
184.json,25.0,29.02515
185.json,25.0,20.1108
186.json,25.0,17.52504
187.json,25.0,18.17077
188.json,25.0,27.97898
189.json,50.0,19.04841
190.json,25.0,22.41249
191.json,25.0,18.47575
192.json,25.0,17.32382
193.json,25.0,26.29686
194.json,25.0,21.16656
195.json,25.0,17.04623
196.json,25.0,21.49363
197.json,25.0,15.12906
198.json,50.0,28.93456
199.json,50.0,16.93636
200.json,25.0,15.10148
201.json,25.0,19.10036
202.json,50.0,27.2046
203.json,25.0,25.18489
204.json,25.0,20.19414
205.json,50.0,21.61214
206.json,25.0,21.97015
207.json,25.0,20.27194
208.json,25.0,25.18868
209.json,25.0,17.50853
210.json,25.0,16.87417
211.json,25.0,23.01785
212.json,50.0,17.91308
213.json,25.0,29.12549
214.json,25.0,28.97905
215.json,25.0,22.70996
216.json,50.0,16.44514
217.json,25.0,23.07003
218.json,25.0,20.07397
219.json,75.0,16.97286
220.json,50.0,16.56383
221.json,25.0,17.76113
222.json,25.0,22.59515
223.json,25.0,15.30775
224.json,25.0,17.042
225.json,50.0,28.25139
226.json,50.0,24.20704
227.json,50.0,24.30021
228.json,50.0,21.43668
229.json,50.0,28.28673
230.json,50.0,29.24811
231.json,25.0,18.0699
232.json,25.0,28.7488
233.json,25.0,21.44282
234.json,25.0,28.27991
235.json,50.0,27.47934
236.json,50.0,25.71581
237.json,50.0,28.65833
238.json,50.0,22.91869
239.json,25.0,21.07299
240.json,50.0,29.49078
241.json,25.0,21.67633
242.json,25.0,20.31702
243.json,25.0,22.1051
244.json,50.0,27.16282
245.json,25.0,22.40208
246.json,25.0,28.90119
247.json,25.0,15.73056
248.json,50.0,21.29924
249.json,50.0,21.09668
250.json,75.0,27.7408
251.json,50.0,28.66958
252.json,50.0,23.07691
253.json,25.0,18.58555
254.json,25.0,28.11401
255.json,25.0,26.8822
256.json,25.0,25.70785
257.json,25.0,29.52391
258.json,50.0,29.51436
259.json,50.0,22.51686
260.json,50.0,18.46809
261.json,25.0,21.72752
262.json,25.0,27.48566
263.json,25.0,22.69718
264.json,25.0,27.39912
265.json,25.0,29.47254
266.json,50.0,19.40987
267.json,25.0,20.44606
268.json,25.0,28.56482
269.json,25.0,24.62734
270.json,50.0,18.68321
271.json,25.0,15.26279
272.json,25.0,16.98984
273.json,25.0,29.48107
274.json,25.0,18.6035
275.json,25.0,26.93469
276.json,25.0,26.58051
277.json,25.0,27.7196
278.json,25.0,17.21537
279.json,25.0,15.29163
280.json,50.0,29.13054
281.json,25.0,23.34261
282.json,25.0,19.63599
283.json,50.0,24.70502
284.json,50.0,21.37219
285.json,25.0,23.14531
286.json,25.0,21.53718
287.json,50.0,29.97961
288.json,25.0,19.27471
289.json,25.0,25.63025
290.json,25.0,20.90525
291.json,50.0,21.6201
292.json,25.0,26.5508
293.json,25.0,15.09268
294.json,25.0,23.77309
295.json,25.0,24.19852
296.json,25.0,21.41941
297.json,25.0,16.28569
298.json,25.0,17.00328
299.json,25.0,29.0919
300.json,25.0,19.27442
301.json,25.0,25.54929
302.json,50.0,20.81465
303.json,25.0,22.11414
304.json,25.0,25.8713
305.json,25.0,22.59725
306.json,50.0,21.04418
307.json,25.0,26.31535
308.json,25.0,27.20226
309.json,25.0,21.99096
310.json,25.0,17.85251
311.json,25.0,21.18138
312.json,25.0,19.99398
313.json,25.0,26.11001
314.json,25.0,24.14827
315.json,25.0,23.07014
316.json,25.0,23.71883
317.json,25.0,17.70862
318.json,50.0,25.22851
319.json,25.0,18.79616
320.json,75.0,16.97623
321.json,25.0,18.20943
322.json,25.0,17.34162
323.json,50.0,26.04163
324.json,50.0,22.64761
325.json,25.0,20.08375
326.json,25.0,27.48208
327.json,25.0,29.2337
328.json,50.0,22.67932
329.json,75.0,15.14834
330.json,50.0,26.69833
331.json,50.0,19.30518
332.json,25.0,20.10213
333.json,75.0,21.69141
334.json,50.0,27.99334
335.json,50.0,26.12823
336.json,50.0,25.58979
337.json,50.0,29.13005
338.json,25.0,16.5099
339.json,50.0,27.69953
340.json,50.0,28.13759
341.json,50.0,21.52878
342.json,50.0,29.25977
343.json,50.0,28.49739
344.json,50.0,21.96151
345.json,50.0,24.79384
346.json,25.0,16.3608
347.json,50.0,22.96731
348.json,75.0,25.81833
349.json,50.0,22.81564
350.json,50.0,29.05501
351.json,50.0,24.64195
352.json,50.0,28.53244
353.json,50.0,26.74079
354.json,50.0,15.78275
355.json,50.0,21.17696
356.json,50.0,24.94557
357.json,75.0,18.8618
358.json,50.0,16.05524
359.json,50.0,21.96553
360.json,50.0,20.21034
361.json,25.0,29.04692
362.json,50.0,29.35205
363.json,50.0,27.5841
364.json,50.0,25.81517
365.json,50.0,21.26307
366.json,50.0,23.5103
367.json,50.0,17.7701
368.json,50.0,27.67354
369.json,50.0,19.64958
370.json,25.0,15.80862
371.json,50.0,20.57514
372.json,50.0,16.97004
373.json,50.0,17.74148
374.json,50.0,22.03476
375.json,50.0,27.57841
376.json,25.0,24.97933
377.json,25.0,26.59359
378.json,50.0,25.95349
379.json,25.0,22.36503
380.json,25.0,21.05746
381.json,50.0,18.3335
382.json,25.0,20.33134
383.json,25.0,15.59036
384.json,25.0,16.51993
385.json,25.0,18.36073
386.json,50.0,17.824
387.json,25.0,18.90486
388.json,25.0,27.752
389.json,25.0,25.96721
390.json,25.0,23.49075
391.json,25.0,27.4212
392.json,25.0,18.43282
393.json,75.0,28.54838
394.json,25.0,27.54934
395.json,50.0,26.53035
396.json,25.0,27.24279
397.json,25.0,19.90429
398.json,25.0,27.01594
399.json,50.0,20.50122
400.json,50.0,29.7713
